All,Alle
"Refund amount is too large.","Refusionsbeløbet er for stor."
"Settlement amount is too large.","Afregningsbeløbet er for stor."
"Cannot provide a billing address unless also providing a credit card.","Kan ikke give faktureringsadresse uden der også er indtastede et kreditkort."
"Cannot refund a transaction with a suspended merchant account.","Ikke kan refundere en transaktion med en suspenderet foreetnings konto."
"Merchant account does not support refunds.","Forretnings konto understøtter ikke refunderinger."
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","Kan ikke refundere en transaktion, der ikke er gennemført for den pågældende forretnings konto. Prøv igen efter transaktionen er gennemført."
"PayPal is not enabled for your merchant account.","PayPal er ikke aktiveret for din forretnings konto."
"Partial settlements are not supported by this processor.","Delvis afregning er ikke understøttet af denne bruger. "
"Cannot submit for partial settlement.","Kan ikke ansøge om delvis betaling. "
"Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.","Transaktionen kan ikke blive annulleret, hvis statusen for PayPal's delvis afbetetaling's under transaktion er settlement_pending."
"Too many concurrent attempts to refund this transaction. Try again later.","For mange samtidige forsøg på at refundere denne transaktion. Prøv igen senere."
"Too many concurrent attempts to void this transaction. Try again later.","For mange samtidige forsøg på at annulere denne transaktion. Prøv igen senere."
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","Acceptér kreditkort og PayPal til din Magento butik. <br/> Ingen installation eller månedlige gebyrer og dine kunder forlader aldrig din butik for at afslutte købet."
"Enable this Solution","Aktivere denne løsning"
"Enable PayPal through Braintree","Aktivér PayPal gennem Braintree"
"Vault Enabled","Bankboks aktiveret"
"Basic Braintree Settings","Grundlæggende Braintree indstillinger"
"Merchant ID",Sælger-ID
"Public Key","Offentlig nøgle"
"Private Key","Privat nøgle"
"Advanced Braintree Settings","Avanceret Braintree indstillinger"
"Vault Title","Bankboks titel"
"Merchant Account ID","Sælger konto-ID"
"Advanced Fraud Protection","Avanceret svindelværn"
"Kount Merchant ID","Kount sælger-ID"
"CVV Verification","CVV verifikation"
"Country Specific Settings","Land-specifikke indstillinger"
"Country Specific Credit Card Types","Landespecifikke kreditkorttyper"
"PayPal through Braintree","PayPal gennem Braintree"
"Override Merchant Name","Overskriv forhandler navn"
"Require Customer's Billing Address","Kræve kundens faktureringsadresse"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Tillad at redigere leveringsadresse angivet under checkud på PayPal side"
"Display on Shopping Cart","Vis på indkøbskurv"
"Skip Order Review","Spring ordre anmeldelse over"
"3D Secure Verification Settings","3D Secure kontrol indstillinger"
"3D Secure Verification","3D Secure verifikation"
"Threshold Amount",Grænsebeløbet
"Verify for Applicable Countries","Kontrollér for gældende lande"
"Verify for Specific Countries","Kontrollér for bestemte lande"
"Dynamic Descriptors","Dynamisk deskriptorer"
Phone,Telefon
"CVV is required.","CVV er påkrævet."
"CVV must be 4 digits for American Express and 3 digits for other card types.","CVV skal være 4 cifre for American Express og 3 cifre til andre korttyper."
"Expiration date is required.","Udløbsdato er påkrævet."
"Expiration date is invalid.","Udløbsdato er ugyldig."
"Expiration year is invalid. It must be between 1975 and 2201.","Udløbsdatoen er ugyldig. Det skal være mellem 1975 og 2201."
"Expiration month is invalid.","Udløbs måned er ugyldig."
"Expiration year is invalid.","Udløbs år er ugyldig."
"Credit card number is required.","Kortnummer er påkrævet."
"Credit card number is invalid.","Kortnummer er ugyldigt."
"Credit card number must be 12-19 digits.","Kortnummer skal være 12-19 tegn."
"Cardholder name is too long.","Kortholder navn for langt."
"CVV verification failed.","CVV-kontrol mislykkedes."
"Postal code verification failed.","Postnummer verifikation mislykkedes."
"Credit card number is prohibited.","Kreditkortnummer er ikke tilladt."
"Addresses must have at least one field filled in.","Mindst ét adresse felt skal udfyldes."
"Company is too long.","Firmanavn er for langt."
"Extended address is too long.","Forlænget adresse for lang."
"First name is too long.","Fornavn er for langt."
"Last name is too long.","Efternavn er for langt."
"Locality is too long.","Lokation er for langt."
"Postal code is required.","Postnummer er påkrævet."
"Postal code may contain no more than 9 letter or number characters.","Postnummer må indeholde intet mere end 9 bogstaver eller tal."
"Region is too long.","Region er for langt."
"Street address is required.","Adresse er påkrævet."
"Street address is too long.","Adressen er for lang."
"Postal code can only contain letters, numbers, spaces, and hyphens.","Postnummer må kun indeholde bogstaver, tal, mellemrum, og bindestreger."
"US state codes must be two characters to meet PayPal Seller Protection requirements.","US statskoder skal være på to tegn for at opfylde krav til PayPal's sælgerbeskyttelse."
"Incomplete PayPal account information.","Ufuldstændige PayPal kontooplysninger."
"Invalid PayPal account information.","Ugyldig PayPal kontooplysninger."
"PayPal Accounts are not accepted by this merchant account.","PayPal-konti er ikke accepteret af denne bruger konto."
"Billing address format is invalid.","Faktureringsadresse-format er ugyldigt."
"Country name is not an accepted country.","Det valgte Land er ikke et accepteret land."
"Country code is not accepted. Please contact the store administrator.","Landekoden er ikke accepteret. Kontakt venligst administratoren."
"Provided country information is inconsistent.","Den angivne landeinformation er inkonsistent."
"Customer has already reached the maximum of 50 addresses.","Kunden har allerede nået maksimalt antal 50 adresser."
"Address is invalid. Please contact the store administrator.","Adressen er ugyldig. Kontakt venligst administratoren."
"Error communicating with PayPal.","Fejl i kommunikationen med PayPal."
"PayPal authentication expired.","PayPal godkendelse udløb."
"Error executing PayPal order.","Fejl under gennemførelse af PayPal ordre."
"Error executing PayPal billing agreement.","Fejl under gennemførelse af PayPal faktureringsaftale."
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Anvend filtre for at få resultater. Kun de første 100 poster vises i gitteret, men du vil kunne downloade fuld version af rapporten i .csv-format."
Select...,Vælg...
"Transaction Type",Transaktionstype
"Payment Type",Betalingstype
"PayPal Payment ID","PayPal Betalings-ID"
"Created At","Oprettet den"
"Transaction ID",Transaktions-ID
"Order ID","Ordre ID"
Amount,Beløb
"Settlement Code","Udligning kode"
"Settlement Response Text","Udlignings svar tekst"
"Refund Ids",Refusion-id'er
"Settlement Batch ID","Udlignings Batch-ID"
Month,Måned
Year,År
"Stored Card","Gemte kort"
"Credit card successfully added","Kreditkort blev tilføjet"
"Something went wrong while saving the card.","Noget gik galt under gemning af kortet."
"Credit card does not exist","Kreditkort findes ikke"
"Delete Credit Card","Slet kreditkort"
"There was error deleting the credit card","Der opstod fejl under sletning af kreditkort"
"Credit card successfully deleted","Kreditkort blev slettet"
"Edit Credit Card","Redigere kreditkort"
"My Credit Cards","Mit kreditkort"
"New Credit Card","Nyt kreditkort"
"There was error during saving card data","Der opstod fejl under lagring af kortdata"
"We can't place the order.","Vi kan ikke placere ordren."
"Incorrect payment method.","Forkert betalingsmetode."
"We can't initialize checkout review.","Vi kan ikke initialisere checkout anmeldelse."
"We can't update shipping method.","Vi kan ikke opdatere forsendelsesmetode."
"The processor declined your transaction, please re-enter your payment information","Processoren afviste din transaktion, venligst genindtast dine betalingsoplysninger"
"Transaction declined by gateway: Check card details or try another card","Transaktion afvist af gateway: Tjek kortoplysninger eller prøv et andet kort"
"Transaction declined: ","Transaktion afvist: "
"The processor responded with an unknown error","Processoren reagerede med en ukendt fejl"
"Credit card type is not allowed for your country.","Kreditkorttypen er ikke tilladt for dit land."
"Credit card type is not allowed for this payment method.","Kreditkorttypen er ikke tilladt for denne betalingsmetode."
"Selected payment type is not allowed for billing country.","Den valgte betalingsmetode er ikke tilladt for det valgte land."
"Incomplete payment information.","Ufuldstændig betalingsoplysninger."
"Please try again later","Prøv igen senere"
"Can not find original authorization transaction for partial capture","Kan ikke finde den originale godkendte transaktion for partial capture"
"There was an error capturing the transaction: %1.","Der var en fejl under fremfindelsen af transaktionen: %1."
"This refund is for a partial amount but the Transaction has not settled.","Denne refundering er for en andel af betalingen, men transaktionen er ikke gennemført endnu."
"Please wait 24 hours before trying to issue a partial refund.","Vent venligst 24 timer før forsøger at udstede en delvis tilbagebetaling."
"There was an error refunding the transaction: %1.","Der skete en fejl under refunderingen af transaktionen: %1."
"Some transactions are already settled or voided and cannot be voided.","Nogle transaktioner er allerede afgjort eller annulleret og kan ikke blive annulleret."
"There was an error voiding the transaction: %1.","Der skete en fejl, som gjorde følgende transaktionen ugyldig: %1."
Invoice,Faktura
Shipment,Levering
"Invalid Customer ID provided","Ugyldigt Kunde ID oplyst"
"some error","en fejl"
"Something went wrong while processing.","Noget gik galt under behandling."
error,fejl
exception,undtagelse
"Payment Information",Betalingsoplysninger
"Add new card","Tilføj nyt kort"
"Save this card for future use","Gem dette kort til fremtidig brug"
or,eller
"Please confirm that you want to delete this credit card","Bekræft, at du vil slette dette kreditkort"
"Cardholder Name","Kortindehavers navn"
"* Required Fields","* Påkrævede felter"
"Card Verification Number Visual Reference","Kort Verificering Tal Visuel Reference"
"Make Default","Gør til default"
"Billing Address",Faktureringsadresse
Company,Firma
Address,Adresse
State/Province,"Stat eller Region"
"Please select region, state or province","Vælg region, stat eller provins"
"Zip/Postal Code",Postnummer
"Add Credit Card","Tilføj kreditkort"
"Card Number",Kortnummer
"Is Default","Er standard"
"An error occured with payment processing.","Der opstod en fejl i forbindelse med behandling af betalignen."
"Can not initialize PayPal (Braintree)","Kan ikke initialisere PayPal (Braintree)"
"Capture action","Gem handling"
"Use Vault","Brug Boks"
"Allow Duplicate Cards","Tillad dubletter af kort"
"Use Cache","Brug Cache"
"Edit My Credit Cards","Redigere mine kreditkort"
"Paypal account",PayPal-konto
"Coinbase account","Coinbase konto"
"Europe bank account","Europæisk bankkonto"
"Credit card",Kreditkort
"Authorization expired","Tilladelse er udløbet"
Authorizing,Autoriserer
Authorized,Autoriseret
"Gateway rejected","Gateway afvist"
Failed,Mislykket
"Processor declined","Processor afviste"
Settled,Afgjort
Settling,Udligning
"Submitted for settlement","Indsendt til udligning"
Voided,Bortfalder
Unrecognized,Ukendt
"Settlement declined","Udligning afvist"
"Settlement pending","Udligning afventer"
"Settlement confirmed","Udligning bekræftet"
Sale,Salg
Credit,Kredit
"Percent Discount","Procent rabat"
"-- Select --","-- Vælg --"
Dynamic,Dynamisk
Fixed,Fast
"Create New Option","Opret ny mulighed"
"Bundle Items",Pakkeprodukter
"Add Products to Option","Føj produkter til indstilling"
"Delete Option","Slet mulighed"
"What are you looking for?","Hvad leder du efter?"
"Use Default Value","Brug standardværdi"
"There is no defined renderer for ""%1"" option type.","Der er ingen definerede renderer for ""%1"" muligheds type."
"Could not save child: ""%1""","Kunne ikke gemme child: ""%1"""
"Product with specified sku: ""%1"" does not contain option: ""%2""","Produkt med angivne sku: ""%1"" indeholder ikke mulighed: ""%2"""
"Child with specified sku: ""%1"" already assigned to product: ""%2""","Child med angivne sku: ""%1"" allerede er tildelt til produktet: ""%2"""
"Price Range","Pris interval"
"As Low as",Fra
Together,Sammen
Separately,Separat
"Please specify product option(s).","Angiv produkt indstillingerne."
"The options you selected are not available.","De indstillinger, du har valgt, er ikke tilgængelige."
"The required options you selected are not available.","De påkrævede indstillinger du har valgt, er ikke tilgængelige."
"Please select all required options.","Vælg venligst alle krævede indstillinger."
"We can't add this item to your shopping cart right now.","Vi kan ikke føje dette produkt til din indkøbskurv lige nu."
Percent,Procent
"We can't save custom-defined options for bundles with dynamic pricing.","Vi kan ikke gemme brugerdefinerede indstillinger for samle produkter med dynamisk prissætning."
"Add Selected Products","Tilføj udvalgte produkter"
"Add Option","Tilføj valgmulighed"
"New Option","Ny mulighed"
"Option Title","Alternativ titel"
"Default Title","Standard overskrift"
"Store View Title","Butiks visningstitel"
"Input Type","Input type"
"Radio Buttons",Knapper
Checkbox,Afkrydsningsfelt
"Multiple Select","Marker flere"
Required,Påkrævet
"Default Quantity","Standard mængde"
"User Defined",Brugerdefineret
"Price Type",Pristype
Quantity:,Antal:
"Choose a selection...","Vælg et udvalg..."
"Ship Bundle Items","Send samlet produkter"
"There are no products in this option.","Der er ingen produkter i denne indstilling."
Default,Standard
Ordered,Bestilt
Invoiced,Faktureret
Shipped,Afsendt
Refunded,Refunderet
Canceled,Annulleret
"Regular Price",Normalpris
"As low as",Fra
"Buy %1 with %2 discount each","Køb %1 med %2 rabat på hver"
"Go back to product details","Tilbage til produktdetaljer"
"Customize and Add to Cart","Tilpas og tilføj til indkøbskurv"
"Your Customization","Din tilpasning"
Availability,Tilgængelighed
"In stock","På lager"
"Out of stock",Udsolgt
Availability:,Tilgængelighed:
"Customize %1","Tilpas %1"
"No options of this product are available.","Der findes ingen indstillinger for dette produkt."
"Gift Message",Gavebesked
From:,Fra:
To:,Til:
Message:,Besked:
"Product Name",Produktnavn
"Discount Amount",Rabatbeløb
"Row Total",Rækketotal
"Qty Invoiced","Antal faktureret"
"Qty Shipped","Antal afsendt"
"Add Products to New Option","Føj produkter til ny indstilling"
"Add Products to Option ""%1""","Føj produkter til indstilling ""%1"""
Always,Altid
"After number of attempts to login","Efter antal forsøg på at logge ind"
"Provided form does not exist","Given formular ikke findes"
"Incorrect CAPTCHA","Forkert CAPTCHA"
"Incorrect CAPTCHA.","Forkert CAPTCHA."
"The account is locked. Please wait and try again or contact %1.","Kontoen er låst. Vent, og prøv igen, eller kontakt %1."
"Please enter the letters and numbers from the image","Indtast bogstaver og tal fra billedet"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Vigtigt</strong>: Forskel på store og små bogstaver ved tastning af Captcha."
"Reload captcha","Genindlæs captcha"
"Please type the letters and numbers below","Indtast bogstaver og tal nedenfor"
"Attention: Captcha is case sensitive.","Vigtigt: Ved indtastning af Captcha, der er forskel på store og små bogstaver."
"Enable CAPTCHA in Admin","Aktiver CAPTCHA i Admin"
Forms,Formular
"Displaying Mode","Viser tilstand"
"Number of Unsuccessful Attempts to Login","Antalmislykkede forsøg på at logge ind"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Hvis 0 er angivet, vil CAPTCHA på Login formularen altid være tilgængelig."
"CAPTCHA Timeout (minutes)","CAPTCHA Timeout (minutter)"
"Number of Symbols","Antal af symboler"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Angiv maksimalt 8 symboler. Rækker tilladt (f.eks. 3-5)"
"Symbols Used in CAPTCHA","Symboler, anvendt i CAPTCHA"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Benyt kun bogstaver (a-z eller A-Z) og tal (0-9) i dette felt. Ingen mellemrum eller andre tegn tillades. < br / > lignende udseende tegn (f.eks. ""i"", ""l"", ""1"") mindske chancen for korrekte anerkendelse af kunden."
"Case Sensitive","Store og små bogstaver"
"Enable CAPTCHA on Storefront","Aktiver CAPTCHA på butiks forside"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","CAPTCHA for ""Opret bruger"" og ""Glemt kodeord"" formularer er altid aktiveret, hvis valgt."
Root,Rod
"Use Config Settings","Brug Konfigurationsindstillinger"
"Use All Available Attributes","Bruge alle tilgængelige attributter"
"Add Subcategory","Tilføj underkategori"
"Add Root Category","Tilføje rod kategori"
Day,Dag
from,fra
to,til
"[STORE VIEW]","[BUTIK VISNING]"
"Add Product","Tilføj produkt"
label,"etikette "
"Product Attributes",Produktattributter
"Add New Attribute","Tilføj ny attribut"
"Save Attribute","Gem attribut"
"Save in New Attribute Set","Gem i nyt attributsæt"
"Enter Name for New Attribute Set","Angiv navn til nyt attributsæt"
"Delete Attribute","Slet attributten"
"Edit Product Attribute ""%1""","Rediger produkt attributten ""%1"""
"New Product Attribute","Ny produkt attribut"
"Advanced Attribute Properties","Egenskaber for avancerede attributter"
"Attribute Code","Attribut kode"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Dette bruges internt. Kontroller, at du ikke bruger mellemrum eller mere end %1 symboler."
"Default Value",Standardværdi
"Unique Value","Unik værdi"
"Unique Value (not shared with other products)","Unik værdi (ikke delt med andre produkter)"
"Not shared with other products.","Ikke delt med andre produkter."
"Input Validation for Store Owner","Input validering for butiksejeren"
"Add to Column Options","Tilføj til kolonne muligheder"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Vælg ""Ja"" for at tilføje denne attribut på listen over Kolonneindstillinger for i gitteret produkt."
"Use in Filter Options","Brug filterindstillingerne"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Vælg ""Ja"" for at tilføje denne attribut på listen over Kolonneindstillinger for produkt grid."
Website,Hjemmeside
Scope,Anvendelsesområde
"Declare attribute value saving scope.","Fastlæg attribut værdi for at bevare rækkevidde."
"Storefront Properties","Egenskaber for butiksforside"
"Use in Search","Brug i søgning"
"Visible in Advanced Search","Synlige i avanceret søgning"
"Comparable on Storefront","Sammenlignelig på butiks forside"
"Use for Promo Rule Conditions","Til brug for Promo regler"
"Allow HTML Tags on Storefront","Tillad HTML Tags på Butiksforside"
"Visible on Catalog Pages on Storefront","Synlig på Katalog side på Butiks forside"
"Used in Product Listing","Brugt på Produktlister"
"Depends on design theme.","Afhænger af designtema."
"Used for Sorting in Product Listing","Brugt til at sortere Produktlister"
"Media Image","Media billede"
Gallery,Galleri
"System Properties","System egenskaber"
"Data Type for Saving in Database","Arkiverings data type i Database"
Text,Tekst
Static,Statisk
Datetime,DatoTid
Integer,Heltal
"Globally Editable","Kan redigeres globalt"
"Attribute Information","Atribut information"
Properties,Egenskaber
"Manage Labels","Håndter etiketter"
Visible,Synlig
Searchable,Søgbar
Comparable,Sammenlignelige
"Delete Selected Group","Slet valgt gruppe"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Du er ved at slette alle produkter med denne attribut indstilling. Er du sikker på du vil gøre dette?"
"New Set Name","Nyt set navn"
"Edit Attribute Set '%1'","Rediger egenskabet '%1'"
Empty,Tom
"Add Attribute","Tilføj egenskab"
"Add New Group","Tilføj ny gruppe"
"Add Group","Tilføj gruppe"
"For internal use","Til intern brug"
"Based On","Baseret på"
"Edit Attribute Set Name","Rediger egenskaben Set navn"
"Add New Attribute Set","Tilføj nyt set egenskaber"
"Add Attribute Set","Tilføj sæt egenskaber"
"Attribute Sets","Egenskabs sæt"
"Close Window","Luk vindue"
"New Product","Nyt produkt"
"Save & Edit","Gem & Rediger"
"Save & New","Gem & ny"
"Save & Duplicate","Gem & dupliker"
"Save & Close","Gem & luk"
Change,Skift
"Advanced Inventory","Avanceret lager"
Websites,Hjemmesider
"Products Information","Produkt information"
"Create Category","Opret kategori"
"Category Name",Kategorinavn
"Parent Category","Overordnet kategori"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Hvis der er ingen brugerdefinerede overordnede kategorier, skal du bruge den standard overordnede kategori. Du kan tildele kategorien til enhver tid i <a href=""%1"" target=""_blank""> produkter > kategorier</a>."
"Price Alert Subscriptions","Abonner på prisadvarsler"
"Stock Alert Subscriptions","Abonner på lager advarsler"
"There are no customers for this alert.","Der findes ingen kunder til denne advarsel."
"Subscribe Date","Abonnements dato"
"Last Notified","Anvist senest"
"Send Count","Send optælling"
"New Attribute","Ny attribut"
"Attribute Set",Attributssæt
"Add New Option","Tilføje nye indstilling"
"Import Options",Importindstillinger
"Add New Row","Tilføj ny række"
"Delete Row","Slet række"
"Tier Pricing","Tier prissætning"
"Default Price",Standardpris
"ALL GROUPS","ALLE GRUPPER"
"Add Price","Tilføj pris"
"Default Values",Standardværdi
"Related Products","Relaterede produkter"
Up-sells,Op-sælge
Cross-sells,Kryds-salg
"Size for %1","Størrelse for %1"
"Watermark File for %1","Vandmærke fil til %1"
"Position of Watermark for %1","Placeringen af vandmærket til %1"
"Name in %1","Navn i %1"
"Change Status","Skift Status"
"Update Attributes","Opdater attributter"
"start typing to search category","begynd at skrive for at søge kategori"
"New Category","Ny Kategori"
"Add New Images","Tilføj Nyt Billede"
"Inc. Tax","Inkl. moms"
"Does this have a weight?","Har dette en vægt?"
"Notify Low Stock RSS","Advisér Lavt Lager RSS"
"Low Stock Products","Lavt lager produkter"
"%1 has reached a quantity of %2.","%1 har nået et antal %2."
"Go to Home Page","Gå til forsiden"
"Subscribe to RSS Feed","Abonnér på RSS Feed"
"Products Comparison List","Produkt sammenlignings liste"
"New Products from %1","Nye produkter fra %1"
"New Products","Nye produkter"
"%1 - Special Products","%1 - specielle produkter"
"Click for price","Klik for pris"
"Special Expires On: %1","Specialtilbud udløber på: %1"
"Price: %1","Pris: %1"
"Special Price: %1","Special Pris: %1"
"Special Products","Special produkter"
"Manage Catalog Categories","Administrer katalog kategorier"
"Manage Categories","Administrer kategorier"
"You deleted the category.","Du har slettet kategorien."
"Something went wrong while trying to delete the category.","Noget gik galt under forsøget på at slette kategorien."
Categories,Kategorier
"Category is not available for requested store.","Kategorien er ikke tilgængelig for den ønskede butik."
"There was a category move error.","Der opstod en kategori flyt fejl."
"You moved the category.","Du har flyttet kategorien."
"Something went wrong while saving the category.","Noget gik galt med at gemme kategorien."
"You saved the category.","Du har gemt kategorien."
"Please select products for attributes update.","Vælg produkter til opdatering af attributter."
"Please make sure to define SKU values for all processed products.","Sørg for at definere SKU værdier for alle forarbejdede produkter."
"Something went wrong while updating the product(s) attributes.","Noget gik galt under opdatering af produkt(ernes) attributter."
"Something went wrong while processing the request.","Noget gik galt under behandlingen af anmodningen."
"Unable to add attribute","Kunne ikke tilføje attributten"
"Manage Product Attributes","Administrere produktattributterne"
"We can't delete the attribute.","Vi kan ikke slette attributten."
"You deleted the product attribute.","Du slettede produkt attributten."
"We can't find an attribute to delete.","Vi kan ikke finde en attribut til at slette."
"This attribute no longer exists.","Denne attribut eksisterer ikke længere."
"This attribute cannot be edited.","Denne attribut kan ikke redigeres."
"Edit Product Attribute","Redigere produkt attribut"
"An attribute set named '%1' already exists.","En attribut med navnet '%1' allerede findes."
"Something went wrong while saving the attribute.","Noget gik galt da attributten skulle gemmes."
"We can't update the attribute.","Vi kan ikke opdatere attributten."
"You saved the product attribute.","Du gemte produkt attributten."
"An attribute with this code already exists.","Der findes allerede en attribut med denne kode."
"An attribute with the same code (%1) already exists.","Der findes allerede en attribut med den samme kode (%1)."
"The value of Admin scope can't be empty.","Værdien af Admin område må ikke være tom."
"You duplicated the product.","Du duplikerede produktet."
"This product doesn't exist.","Dette produkt findes ikke."
"Invalid product id. Should be numeric value greater than 0","Ugyldigt produkt id. Skal være numerisk værdi større end 0"
"A group with the same name already exists.","Der findes allerede en gruppe med samme navn."
"Something went wrong while saving this group.","Noget gik galt under arkivering af denne gruppe."
"A total of %1 record(s) have been deleted.","I alt %1 post(er) er blevet slettet."
"A total of %1 record(s) have been updated.","Ialt %1 post(er) er blevet slettet."
"Something went wrong while updating the product(s) status.","Noget gik galt under opdatering af produkt(ers) status."
"You saved the product.","Du gemte produktet."
"SKU for product %1 has been changed to %2.","SKU for produkt %1 er blevet ændret til %2."
"The image cannot be removed as it has been assigned to the other image role","Billedet kan ikke fjernes, da det er blevet tildelt til andre billede"
"New Attribute Set","Ny attributs sæt"
"The attribute set has been removed.","Attribut sættet er blevet fjernet."
"We can't delete this set right now.","Vi kan ikke slette dette sæt lige nu."
"New Set","Nyt sæt"
"Manage Product Sets","Administrere produkt sæt"
"Manage Attribute Sets","Administrere attribut sæt"
"This attribute set no longer exists.","Denne attribut eksisterer ikke længere."
"You saved the attribute set.","Du gemte attribut sættet."
"Something went wrong while saving the attribute set.","Noget gik galt arkivering af attribut sættet."
"You cleared the comparison list.","Du ryddede sammenlignings listen."
"Something went wrong  clearing the comparison list.","Noget gik galt under rensning af sammenligningslisten."
"You removed product %1 from the comparison list.","Du fjernet produkt %1 fra sammenlignings listen."
"1 item","1 vare"
"%1 items","%1 varer"
"Are you sure you want to remove this item from your Compare Products list?","Er du sikker på, du vil fjerne denne vare fra sammenligningen?"
"Are you sure you want to remove all items from your Compare Products list?","Vil du fjerne alle produkter fra listen over sammenligne produkter?"
"Invalid attribute %1","Ugyldig attribut %1"
Grid,Gitter
List,Liste
"Bad controller interface for showing product","Problematisk controller interface til at vise produktet"
"Product is not loaded","Produktet er ikke indlæst"
"Make sure the To Date is later than or the same as the From Date.","Sørg for, at datoen er senere end eller den samme som fra-dato."
"Sorry, but we can't find the new parent category you selected.","Beklager, men vi kan ikke finde den nye overordnede kategori du har valgt."
"Sorry, but we can't find the new category you selected.","Beklager, men vi kan ikke finde den nye kategori du har valgt."
"We can't move the category because the parent category name matches the child category name.","Vi kan ikke flytte kategorien, fordi det overordnede kategorinavn matcher underkategoriens navn."
"Something went wrong while getting the image url.","Noget gik galt under hentning af billedets webadresse."
"Can't delete root category.","Kan ikke slette rod kategori."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Standard produkt liste sortering, findes ikke i den tilgængelige Produkt Liste sorteret efter."
"No layout updates","Ingen layout opdateringer"
"Products only","Kun produkter"
"Static block only","Kun statisk blok"
"Static block and products","Statisk blok og produkter"
"Please select a static block.","Vælg venligst en statisk blok."
"Could not save product ""%1"" with position %2 to category %3","Kunne ikke gemme produktet ""%1"" med position %2 til kategori %3"
"Could not save product ""%product"" with position %position to category %category","Kunne ikke gemme produktet ""%product"" med position %position til kategori %category"
"Operation do not allow to move a parent category to any of children category","Operationen ikke tillader for at flytte en overordnet kategori til en child kategori"
"Could not move category","Kunne ikke flytte kategori"
"Could not save category: %1","Kunne ikke gemme kategori: %1"
"Cannot delete category with id %1","Kan ikke slette kategori med id %1"
"-- Please Select a Category --","--Vælg en kategori--"
"Grid Only","Kun gitter"
"List Only","Kun liste"
"Grid (default) / List","Gitter (standard) / liste"
"List (default) / Grid","Liste (standard) / gitter"
"Automatic (equalize price ranges)","Automatisk (udligning af prisklasser)"
"Automatic (equalize product counts)","Automatisk (udligning af produkt tællere)"
"-- Please select --","-- Vælg venligst --"
"Product Thumbnail Itself","Produkt miniaturebillede"
"Parent Product Thumbnail","Overordnede produkt miniaturebillede"
"12h AM/PM","12t AM/PM"
24h,24t
Stretch,Stræk
Tile,Flise
Top/Left,"Øverst til venstre"
Top/Right,Top/højre
Bottom/Left,Bund/venstre
Bottom/Right,Bund/Højre
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 forlænger ikke \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","Noget gik galt da fil(er) skulle gemmes."
"File can not be saved to the destination folder.","Filen kan ikke gemmes i destinationsmappen."
"Unknown EAV indexer type ""%1"".","Ukendt EAV indekseringenstype ""%1""."
"We can't rebuild the index for an undefined product.","Vi kan ikke genopbygge indekset for et udefineret produkt."
"Bad value was supplied.","Forkert værdi."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","Modulet ""Flat"" katalog har en grænse på %2$d kan filtreres og/eller sorterbare attributter. I øjeblikket er der %1$d af dem. Skal du reducere antallet af kan filtreres/sorterbare attributter for at bruge dette modul"
"Unsupported product type ""%1"".","Ikke-understøttede produkt type ""%1""."
"Please correct the category.","Ret venligst kategorien."
"Must be category model instance or its id.","Der skal indtastes en kategoriserede model eller dens ID."
"The attribute model is not defined.","Modellens egenskaber er ikke defineret."
Category,Kategori
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 forlænger ikke \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 forlænger ikke \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","Filteret skal være et objekt. Angiv det korrekte filter."
"Clear Price","Slet prisen"
"%1 and above","%1 og derover"
"Group price must be a number greater than 0.","Gruppe pris skal være et tal større end 0."
"Media Gallery converter should be an instance of EntryConverterInterface.","Mediegalleri konverteren bør være en forekomst af EntryConverterInterface."
